id,part,topic,question,file_path
0,1,Your favourite place,What place do you most like to visit?,mp3_files/audio_num_0.mp3
1,1,Your favourite place,How often do you visit this place?,mp3_files/audio_num_1.mp3
2,1,Your favourite place,Why do you like it so much?,mp3_files/audio_num_2.mp3
3,1,Your favourite place,Is it popular with many other people?,mp3_files/audio_num_3.mp3
4,1,Your favourite place,Has it changed very much since you first went there? [In what way?],mp3_files/audio_num_4.mp3
5,3,The internet and communication & The internet and shopping,What effect has the internet had on the way people generally communicate with each other?,mp3_files/audio_num_5.mp3
6,3,The internet and communication & The internet and shopping,Why do you think the internet is being used more and more for communication?,mp3_files/audio_num_6.mp3
7,3,The internet and communication & The internet and shopping,How reliable do you think information from the internet is? Why? What about the news on the internet?,mp3_files/audio_num_7.mp3
8,3,The internet and communication & The internet and shopping,Why do you think some people use the internet for shopping? Why doesn't everyone use it in this way?,mp3_files/audio_num_8.mp3
9,3,The internet and communication & The internet and shopping,What kinds of things are easy to buy and sell online? Can you give me some examples?,mp3_files/audio_num_9.mp3
10,3,The internet and communication & The internet and shopping,Do you think shopping on the internet will be more or less popular in the future? Why?,mp3_files/audio_num_10.mp3
11,1,Your country,Which part of your country do most people live in?,mp3_files/audio_num_11.mp3
12,1,Your country,Tell me about the main industries there.,mp3_files/audio_num_12.mp3
13,1,Your country,How easy is it to travel around your country?,mp3_files/audio_num_13.mp3
14,1,Your country,Has your country changed much since you were a child?,mp3_files/audio_num_14.mp3
15,3,Famous people in your country & Being in the public eye,What kind of people become famous people these days?,mp3_files/audio_num_15.mp3
16,3,Famous people in your country & Being in the public eye,Is this different from the kind of achievement that made people famous in the past? In what way?,mp3_files/audio_num_16.mp3
17,3,Famous people in your country & Being in the public eye,How do you think people will become famous in the future?,mp3_files/audio_num_17.mp3
18,3,Famous people in your country & Being in the public eye,What are the good things about being famous? Are there any disadvantages?,mp3_files/audio_num_18.mp3
19,3,Famous people in your country & Being in the public eye,How does the media in your country treat famous people?,mp3_files/audio_num_19.mp3
20,3,Famous people in your country & Being in the public eye,Why do you think ordinary people are interested in the lives of famous people?,mp3_files/audio_num_20.mp3
21,1,Dancing,Do you enjoy dancing? [Why/Why not?],mp3_files/audio_num_21.mp3
22,1,Dancing,Has anyone ever taught you to dance? [Why/Why not?],mp3_files/audio_num_22.mp3
23,1,Dancing,Tell me about any traditional dancing in your country.,mp3_files/audio_num_23.mp3
24,1,Dancing,Do you think that traditional dancing will be popular in the future? [Why/Why not?],mp3_files/audio_num_24.mp3
